,oldAIC,AIC,cost,country,time,a,r,beta,mu,I0,alpha,t_lock,beta_lock
0,-777.1432012709816,-2390.78133806701,0.0011494452169807446,Italy,exp,0.0,1.0,1.3184392989293738,1.1774450993794255e-09,2.677399679938146e-12,0.05980456536334393,,
1,-760.8655887317308,-2389.7736348905732,0.001322605496374672,Italy,rational,0.0,1.0,1.5012473836475737,0.07032931401756369,6.806024630978652e-14,0.06987136329456918,,
2,-1680.8915047031978,-2389.194279005745,0.0006893890677399014,Italy,exp,1.0,1.0,1.325382246207109,4.043834033464779e-11,2.4641283297964736e-12,0.05987816921371935,,
3,-752.3154839915909,-2354.797206064989,0.0013994370829518133,Italy,fermi,0.0,1.0,0.7607735497907475,2.545042292018844e-13,2.4063049258155266e-10,0.06154510853181772,3.694689140029552e-10,
4,-1638.4217259294194,-2352.367256970556,0.000820771291796742,Italy,fermi,1.0,1.0,0.7667512171994544,2.0292427551824e-13,2.1823333782724434e-10,0.06166012968483876,3.2941764772161703e-09,
5,-1587.8061222644963,-2350.2858263862377,0.0010297135060131116,Italy,rational,1.0,1.0,0.8378012008005941,0.07662144764615049,9.26249473261787e-11,0.04905446941032271,,
6,-1514.241852922283,-2305.790663917276,0.0014017862163983607,Italy,fermi,1.0,0.0,0.7713125722874131,2.542360875064899e-12,1.7488273928663192e-10,0.0612065645279316,1.9729730907350393e-09,
7,-776.7126395887783,-2297.8564130314307,0.001133998367018737,Italy,fermi,0.0,0.0,0.7598316572885953,5.760758690589433e-12,2.055060693846942e-10,0.06090803114028755,4.240184659673222e-11,
8,-738.1881693437916,-2294.293583511936,0.0010639541070096195,United Kingdom,rational,0.0,1.0,3.622411135377073,0.057810523863892925,1.3566152666592298e-23,0.0964701923496874,,
9,-1581.677868174883,-2276.914389912808,0.0006808964543903445,United Kingdom,rational,1.0,1.0,1.6331393895202864,0.06296501463853328,1.3508564933171908e-16,0.06202326799565095,,
10,-599.8866237214679,-2269.7243554839497,0.004184131725509262,Germany,exp,0.0,1.0,2.782344830597796,1.8595089774794005e-09,9.874968111817247e-19,0.07380017335406776,,
