Model;a;r;;;;;;
lock;1.0;0.0;;;;;;
;beta_I;beta_A;mu_I;mu_A;nu;I0;t_lock;beta_lock
Italy;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
Germany;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
Spain;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
United Kingdom;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
Belgium;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
Portugal;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
;;;;;;;;
exp;1.0;0.0;;;;;;
;beta_I;beta_A;mu_I;mu_A;nu;I0;alpha;
Italy;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Germany;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Spain;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
United Kingdom;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Belgium;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Portugal;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
;;;;;;;;
fermi;1.0;0.0;;;;;;
;beta_I;beta_A;mu_I;mu_A;nu;I0;alpha;t_lock
Italy;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;30
Germany;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;30
Spain;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;30
United Kingdom;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;30
Belgium;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;30
Portugal;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;30
;;;;;;;;
rational;1.0;0.0;;;;;;
;beta_I;beta_A;mu_I;mu_A;nu;I0;alpha;
Italy;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Germany;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Spain;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
United Kingdom;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Belgium;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Portugal;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
;;;;;;;;
lock;1.0;1.0;;;;;;
;beta_I;beta_A;mu_I;mu_A;nu;I0;t_lock;beta_lock
Italy;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
Germany;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
Spain;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
United Kingdom;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
Belgium;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
Portugal;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
;;;;;;;;
exp;1.0;1.0;;;;;;
;beta_I;beta_A;mu_I;mu_A;nu;I0;alpha;
Italy;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Germany;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Spain;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
United Kingdom;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Belgium;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Portugal;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
;;;;;;;;
fermi;1.0;1.0;;;;;;
;beta_I;beta_A;mu_I;mu_A;nu;I0;alpha;t_lock
Italy;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
Germany;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
Spain;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
United Kingdom;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
Belgium;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
Portugal;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
;;;;;;;;
rational;1.0;1.0;;;;;;
;beta_I;beta_A;mu_I;mu_A;nu;I0;alpha;
Italy;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
Germany;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
Spain;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
United Kingdom;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
Belgium;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
Portugal;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
;;;;;;;;
lock;0.0;0.0;;;;;;
;beta_I;beta_A;mu_I;mu_A;nu;I0;t_lock;beta_lock
Italy;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
Germany;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
Spain;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
United Kingdom;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
Belgium;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
Portugal;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
;;;;;;;;
exp;0.0;0.0;;;;;;
;beta_I;beta_A;mu_I;mu_A;nu;I0;alpha;
Italy;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Germany;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Spain;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
United Kingdom;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Belgium;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Portugal;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
;;;;;;;;
fermi;0.0;0.0;;;;;;
;beta_I;beta_A;mu_I;mu_A;nu;I0;alpha;t_lock
Italy;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
Germany;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
Spain;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
United Kingdom;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
Belgium;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
Portugal;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
;;;;;;;;
rational;0.0;0.0;;;;;;
;beta_I;beta_A;mu_I;mu_A;nu;I0;alpha;
Italy;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
Germany;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
Spain;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
United Kingdom;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
Belgium;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
Portugal;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
;;;;;;;;
lock;0.0;1.0;;;;;;
;beta_I;beta_A;mu_I;mu_A;nu;I0;t_lock;beta_lock
Italy;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
Germany;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
Spain;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
United Kingdom;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
Belgium;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
Portugal;0.6;0.6;0.33;0.33;0.2;0.00000001;30;0.2
;;;;;;;;
exp;0.0;1.0;;;;;;
;beta_I;beta_A;mu_I;mu_A;nu;I0;alpha;
Italy;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Germany;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Spain;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
United Kingdom;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Belgium;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
Portugal;0.6;0.6;0.2;0.2;0.2;0.00000001;0.06;
;;;;;;;;
fermi;0.0;1.0;;;;;;
;beta_I;beta_A;mu_I;mu_A;nu;I0;alpha;t_lock
Italy;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
Germany;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
Spain;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
United Kingdom;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
Belgium;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
Portugal;0.6;0.6;0.2;0.2;0.2;0.00000001;0.09;30
;;;;;;;;
rational;0.0;1.0;;;;;;
;beta_I;beta_A;mu_I;mu_A;nu;I0;alpha;
Italy;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
Germany;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
Spain;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
United Kingdom;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
Belgium;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
Portugal;0.6;0.6;0.2;0.2;0.2;0.00000001;0.08;
